EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2026-02-14 00:00:00.000 Z,AFL Origin/Western Australia v Victoria,35202155,MATCH_ODDS,253333119,Match Odds,406939,Victoria,WINNER,1,226,Western Australia,Victoria,-24,101,125,1.34,1.35,74473.97,1.15,1.19,102658.05,1.1,1.2,115850.07,1.01,1.09,123932.11,124670.4
2026-02-14 00:00:00.000 Z,AFL Origin/Western Australia v Victoria,35202155,MATCH_ODDS,253333119,Match Odds,406942,Western Australia,LOSER,0,226,Western Australia,Victoria,-24,101,125,3.85,4.4,9011.71,4,6.2,10419.98,2.12,,10650.4,15.5,,10864.28,10898.76
2026-02-25 00:00:00.000 Z,AFL Pre Season/Carlton v Geelong Cats,35303507,MATCH_ODDS,254481234,Match Odds,39980,Carlton,WINNER,1,,Carlton,Geelong,15,,,2.52,2.54,1869.89,1.38,5,2442.4,1.38,5,2488.51,1.23,5,2529.07,2583.78
2026-02-25 00:00:00.000 Z,AFL Pre Season/Carlton v Geelong Cats,35303507,MATCH_ODDS,254481234,Match Odds,39988,Geelong,LOSER,0,,Carlton,Geelong,15,,,1.64,1.65,5605.91,1.58,3,6077.8,1.58,,6083.52,1.5,,6083.52,6083.52
2026-02-26 00:00:00.000 Z,AFL Pre Season/Brisbane v Gold Coast,35303731,MATCH_ODDS,254481624,Match Odds,42153,Brisbane,WINNER,1,227,Brisbane,Gold Coast,25,126,101,2.42,2.48,1396.94,1.16,4.2,1820.21,1.16,1000,3236.42,1.67,1.77,3681.71,3900.09
2026-02-26 00:00:00.000 Z,AFL Pre Season/Brisbane v Gold Coast,35303731,MATCH_ODDS,254481624,Match Odds,4513766,Gold Coast,LOSER,0,227,Brisbane,Gold Coast,25,126,101,1.68,1.7,5551.59,1.14,1.92,5983.87,1.84,1.9,7633.9,1.14,1000,7880.73,7880.73
2026-02-26 00:00:00.000 Z,AFL Pre Season/Sydney v GWS,35303758,MATCH_ODDS,254483928,Match Odds,5304641,GWS,LOSER,0,156,Sydney,GWS,38,97,59,3.2,3.7,734.99,1.21,8,855.05,1.21,4.7,877.46,1.21,,877.46,877.46
2026-02-26 00:00:00.000 Z,AFL Pre Season/Sydney v GWS,35303758,MATCH_ODDS,254483928,Match Odds,39985,Sydney,WINNER,1,156,Sydney,GWS,38,97,59,1.39,1.4,2241.3,1.12,1.3,3664,1.15,1.36,3775.9,1.01,1.14,3949.22,3960.94
2026-02-27 00:00:00.000 Z,AFL Pre Season/Melbourne v Richmond,35303732,MATCH_ODDS,254482008,Match Odds,298609,Melbourne,WINNER,1,,Melbourne,Richmond,,,,1.35,1.36,1536.96,1.17,1.31,2606,1.05,1.31,2632.09,1.01,1.05,2663.38,2672.92
2026-02-27 00:00:00.000 Z,AFL Pre Season/Melbourne v Richmond,35303732,MATCH_ODDS,254482008,Match Odds,39981,Richmond,LOSER,0,,Melbourne,Richmond,,,,3.4,4.2,78.97,1.22,7.4,83.97,1.22,,83.99,1.22,,83.99,83.99
2026-02-27 00:00:00.000 Z,AFL Pre Season/Western Bulldogs v Hawthorn,35303733,MATCH_ODDS,254482392,Match Odds,39979,Hawthorn,LOSER,0,190,Western Bulldogs,Hawthorn,44,117,73,2.06,2.08,1824.82,2.08,4.2,2756.84,2,,2756.89,4.1,,2766.36,2766.36
2026-02-27 00:00:00.000 Z,AFL Pre Season/Western Bulldogs v Hawthorn,35303733,MATCH_ODDS,254482392,Match Odds,39986,Western Bulldogs,WINNER,1,190,Western Bulldogs,Hawthorn,44,117,73,1.9,1.93,4466.07,1.21,3.7,6068.26,1.02,1.5,6468.55,,1.01,6605.6,6605.6
2026-02-28 00:00:00.000 Z,AFL Pre Season/St Kilda v Essendon,35303734,MATCH_ODDS,254482776,Match Odds,39977,Essendon,LOSER,0,187,St Kilda,Essendon,43,115,72,3.05,4.5,861.07,1.24,,1002.57,1.52,,1002.57,3,,1002.57,1002.57
2026-02-28 00:00:00.000 Z,AFL Pre Season/St Kilda v Essendon,35303734,MATCH_ODDS,254482776,Match Odds,39990,St Kilda,WINNER,1,187,St Kilda,Essendon,43,115,72,1.38,1.47,3018.7,1.11,1.23,3212.53,1.11,1.84,3212.53,1.01,1.15,3247.99,3339.33
2026-02-28 00:00:00.000 Z,AFL Pre Season/Fremantle v Adelaide,35303739,MATCH_ODDS,254483160,Match Odds,39982,Adelaide,LOSER,0,152,Fremantle,Adelaide,16,84,68,2.74,2.8,380.71,1.67,2.12,1264.48,1.81,,1693.3,70,,1858.15,1858.15
