EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,TOTAL_POINTS,HOME_TEAM,AWAY_TEAM,HOME_MARGIN,HOME_SCORE,AWAY_SCORE,BEST_BACK_FIRST_BOUNCE,BEST_LAY_FIRST_BOUNCE,MATCHED_VOLUME_FIRST_BOUNCE,BEST_BACK_PRICE_APPROX_QUARTER_TIME,BEST_LAY_PRICE_APPROX_QUARTER_TIME,MATCHED_VOLUME_QUARTER_TIME,BEST_BACK_PRICE_HALF_TIME,BEST_LAY_PRICE_HALF_TIME,MATCHED_VOLUME_HALF_TIME,BEST_BACK_PRICE_APPROX_THREE_QUARTER_TIME,BEST_LAY_PRICE_APPROX_THREE_QUARTER_TIME,MATCHED_VOLUME_APPROX_THREE_QUARTER_TIME,TOTAL_MATCHED_VOLUME
2025-09-18 00:00:00.000 Z,  Australian NBL/Tasmania Jackjumpers v Melbourne United,34722748,MATCH_ODDS,247696832,Match Odds,8814925,Melbourne United,WINNER,1,172,Tasmania Jackjumpers,v Melbourne United,,,,2.4,2.46,6660.48,2.7,4.1,7120.25,2.08,4.1,7234.04,1.8,1.97,13293.72,16493.62
2025-09-18 00:00:00.000 Z,  Australian NBL/Tasmania Jackjumpers v Melbourne United,34722748,MATCH_ODDS,247696832,Match Odds,41030340,Tasmania JackJumpers,LOSER,0,172,Tasmania Jackjumpers,v Melbourne United,,,,1.68,1.7,12714.87,1.65,1.74,16198.17,1.77,1.77,20809.42,1.98,2.3,25672.9,27833.55
2025-09-20 00:00:00.000 Z,  Australian NBL/SE Melbourne Phoenix v Cairns Taipans,34722750,MATCH_ODDS,247696534,Match Odds,1196408,Cairns Taipans,LOSER,0,191,SE Melbourne Phoenix,v Cairns Taipans,36,113.5,77.5,3.1,3.4,497.31,4.8,6.6,1087.21,1.01,,1088.29,1.12,,1088.29,1088.29
2025-09-20 00:00:00.000 Z,  Australian NBL/SE Melbourne Phoenix v Cairns Taipans,34722750,MATCH_ODDS,247696534,Match Odds,26135246,SE Melbourne Phoenix,WINNER,1,191,SE Melbourne Phoenix,v Cairns Taipans,36,113.5,77.5,1.46,1.48,1446.45,1.3,1.34,2783.96,1.01,1.01,3754.29,,1.01,4728.67,4728.67
2025-09-20 00:00:00.000 Z,  Australian NBL/Perth Wildcats v Tasmania Jackjumpers,34750420,MATCH_ODDS,247958653,Match Odds,1196410,Perth Wildcats,LOSER,0,147,Perth Wildcats,v Tasmania Jackjumpers,-3,72,75,1.41,1.44,1354.75,1.16,1.19,3213.68,1.42,1.45,8159.2,2.06,3,11205.18,12089.83
2025-09-20 00:00:00.000 Z,  Australian NBL/Perth Wildcats v Tasmania Jackjumpers,34750420,MATCH_ODDS,247958653,Match Odds,41030340,Tasmania JackJumpers,WINNER,1,147,Perth Wildcats,v Tasmania Jackjumpers,-3,72,75,3.3,3.45,105.23,5.3,7,525.75,3.1,,687.65,1.65,2.02,4264.19,9982.72
2025-09-25 00:00:00.000 Z,  Australian NBL/Melbourne United v SE Melbourne Phoenix,34762485,MATCH_ODDS,248160004,Match Odds,8814925,Melbourne United,WINNER,1,186,Melbourne United,v SE Melbourne Phoenix,20,103,83,1.7,1.71,3443.55,1.63,1.76,7734.59,1.22,1.27,9309.94,1.45,1.45,15091.93,17378.03
2025-09-25 00:00:00.000 Z,  Australian NBL/Melbourne United v SE Melbourne Phoenix,34762485,MATCH_ODDS,248160004,Match Odds,26135246,SE Melbourne Phoenix,LOSER,0,186,Melbourne United,v SE Melbourne Phoenix,20,103,83,2.4,2.44,1530.96,2.32,2.94,1891.06,4.4,7,2307.19,2.7,,3223.07,3269.14
2025-09-26 00:00:00.000 Z,  Australian NBL/Cairns Taipans v Brisbane Bullets,34763148,MATCH_ODDS,248159411,Match Odds,1196396,Brisbane Bullets,LOSER,0,165,Cairns Taipans,v Brisbane Bullets,1,83,82,1.53,1.54,2632.18,1.6,1.65,4275.39,1.86,2.04,6774.13,8.2,13,8610.76,8826.97
2025-09-26 00:00:00.000 Z,  Australian NBL/Cairns Taipans v Brisbane Bullets,34763148,MATCH_ODDS,248159411,Match Odds,1196408,Cairns Taipans,WINNER,1,165,Cairns Taipans,v Brisbane Bullets,1,83,82,2.86,2.88,1073.66,2.2,3.5,1534.46,1.98,2.4,3356.09,1.13,1.13,5473.15,7781.32
