EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,HANDICAP,RUNNER_STATUS,IS_WINNER,FIRST_INNINGS_FOUR_OVER_RUNS,FIRST_INNINGS_SIX_OVER_RUNS,FIRST_INNINGS_TEN_OVER_RUNS,FIRST_INNINGS_FIFTEEN_OVER_RUNS,FIRST_INNINGS_TWENTY_OVER_RUNS,SECOND_INNINGS_FOUR_OVER_RUNS,SECOND_INNINGS_SIX_OVER_RUNS,SECOND_INNINGS_TEN_OVER_RUNS,SECOND_INNINGS_FIFTEEN_OVER_RUNS,SECOND_INNINGS_TWENTY_OVER_RUNS,HOME_TEAM,AWAY_TEAM,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,MATCHED_VOLUME_60_MIN_PRIOR,BEST_BACK_PRICE_30_MIN_PRIOR,BEST_LAY_PRICE_30_MIN_PRIOR,MATCHED_VOLUME_30_MIN_PRIOR,BEST_BACK_PRICE_1_MIN_PRIOR,BEST_LAY_PRICE_1_MIN_PRIOR,MATCHED_VOLUME_1_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_1_OVR_LINE,234779370,1st Innings 1 Overs Line,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,4.5,6.5,326.67,4.5,5.5,326.67,4.5,5.5,454.82,1811.91,5.5
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_10_OVR_LINE,234779362,1st Innings 10 Overs Line ,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,61.5,70.5,,95293.66,
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_15_OVR_LINE,234779363,1st Innings 15 Overs Line ,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,98.5,108.5,,196712.35,
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_20_OVR_LINE,234779360,1st Innings 20 Overs Line ,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,140.5,148.5,14.48,142.5,148.5,14.48,147.5,148.5,3284.12,620198.73,148.5
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_4_OVR_LINE,234779368,1st Innings 4 Overs Line,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,17.5,33.5,5.89,23.5,25.5,5.89,24.5,25.5,5067.28,11210.06,24.5
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INNING_6_OVR_LINE,234779361,1st Innings 6 Overs Line ,15316,Total Runs,0,WINNER,1,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,35.5,38.5,507.38,37.5,38.5,2007.41,38.5,39.5,3548.96,172184.88,37.5
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INN_6_OVR_TOTAL,234778873,1st Innings 6 Overs Total,269473,120 Runs or more,-120,LOSER,0,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,,,,,
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INN_6_OVR_TOTAL,234778873,1st Innings 6 Overs Total,3263147,115 Runs or more,-115,LOSER,0,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,,,,,
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INN_6_OVR_TOTAL,234778873,1st Innings 6 Overs Total,269472,110 Runs or more,-110,LOSER,0,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,,,,,
2024-10-27 00:00:00.000 Z, WBBL/Adelaide Strikers WBBL v Brisbane Heat WBBL,33673259,1_INN_6_OVR_TOTAL,234778873,1st Innings 6 Overs Total,269699,105 Runs or more,-105,LOSER,0,31,39,59,100,133,32,48,70,115,134,Adelaide Strikers WBBL,Brisbane Heat WBBL,,,,,,,,,,,
