EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,HANDICAP,RUNNER_STATUS,IS_WINNER,FIRST_INNINGS_FOUR_OVER_RUNS,FIRST_INNINGS_SIX_OVER_RUNS,FIRST_INNINGS_TEN_OVER_RUNS,FIRST_INNINGS_FIFTEEN_OVER_RUNS,FIRST_INNINGS_TWENTY_OVER_RUNS,SECOND_INNINGS_FOUR_OVER_RUNS,SECOND_INNINGS_SIX_OVER_RUNS,SECOND_INNINGS_TEN_OVER_RUNS,SECOND_INNINGS_FIFTEEN_OVER_RUNS,SECOND_INNINGS_TWENTY_OVER_RUNS,HOME_TEAM,AWAY_TEAM,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,MATCHED_VOLUME_60_MIN_PRIOR,BEST_BACK_PRICE_30_MIN_PRIOR,BEST_LAY_PRICE_30_MIN_PRIOR,MATCHED_VOLUME_30_MIN_PRIOR,BEST_BACK_PRICE_1_MIN_PRIOR,BEST_LAY_PRICE_1_MIN_PRIOR,MATCHED_VOLUME_1_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269473,120 Runs or more,-120,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,3263147,115 Runs or more,-115,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269472,110 Runs or more,-110,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269699,105 Runs or more,-105,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269471,100 Runs or more,-100,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,1190982,95 Runs or more,-95,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269470,90 Runs or more,-90,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,1190981,85 Runs or more,-85,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269469,80 Runs or more,-80,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269489,75 Runs or more,-75,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,294329,70 Runs or more,-70,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,1190980,65 Runs or more,-65,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,266952,60 Runs or more,-60,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,1190979,55 Runs or more,-55,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
2023-12-01 00:00:00.000 +0000, Twenty20 Big Bash/Adelaide Strikers v Brisbane Heat,32821474,1_INN_6_OVR_TOTAL,222009754,1st Innings 6 Over Total,269532,50 Runs or more,-50,LOSER,0,,,,,,,,,,,Adelaide Strikers,Brisbane Heat,,,,,,,,,,,
