EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,BEST_BACK_FIRST_BALL,BEST_LAY_FIRST_BALL,MATCHED_VOLUME_FIRST_BALL,BEST_BACK_FIRST_INN_FOUR_OV,BEST_LAY_FIRST_INN_FOUR_OV,MATCHED_VOLUME_FIRST_INN_FOUR_OV,BEST_BACK_FIRST_INN_SIX_OV,BEST_LAY_FIRST_INN_SIX_OV,MATCHED_VOLUME_FIRST_INN_SIX_OV,BEST_BACK_FIRST_INN_TEN_OV,BEST_LAY_FIRST_INN_TEN_OV,MATCHED_VOLUME_FIRST_INN_TEN_OV,BEST_BACK_FIRST_INN_FIFTEEN_OV,BEST_LAY_FIRST_INN_FIFTEEN_OV,MATCHED_VOLUME_FIRST_INN_FIFTEEN_OV,BEST_BACK_FIRST_INN_CONCLUSION,BEST_LAY_FIRST_INN_CONCLUSION,MATCHED_VOLUME_FIRST_INN_CONCLUSION,BEST_BACK_SECOND_INN_FOUR_OV,BEST_LAY_SECOND_INN_FOUR_OV,MATCHED_VOLUME_SECOND_INN_FOUR_OV,BEST_BACK_SECOND_INN_SIX_OV,BEST_LAY_SECOND_INN_SIX_OV,MATCHED_VOLUME_SECOND_INN_SIX_OV,BEST_BACK_SECOND_INN_TEN_OV,BEST_LAY_SECOND_INN_TEN_OV,MATCHED_VOLUME_SECOND_INN_TEN_OV,BEST_BACK_SECOND_INN_FIFTEEN_OV,BEST_LAY_SECOND_INN_FIFTEEN_OV,MATCHED_VOLUME_SECOND_INN_FIFTEEN_OV,TOTAL_MATCHED_VOLUME
2025-11-09 00:00:00.000 Z,WBBL/Brisbane Heat W v Melbourne Renegades W,34920090,MATCH_ODDS,250068500,Match Odds,90021942,Brisbane Heat W,LOSER,0,Brisbane Heat W,v Melbourne Renegades W,1.75,1.77,92699.11,1.99,1.91,510694,1.92,1.88,712879.16,2.12,2.08,942868.44,3.2,3.15,1158977.59,3.85,3.75,1265283.87,8.2,4.1,2816743.52,4.6,3.5,2825193.36,1.93,1.84,2207987.39,1.93,1.84,2207987.39,2826409.47
2025-11-09 00:00:00.000 Z,WBBL/Brisbane Heat W v Melbourne Renegades W,34920090,MATCH_ODDS,250068500,Match Odds,90021943,Melbourne Renegades W,WINNER,1,Brisbane Heat W,v Melbourne Renegades W,2.26,2.3,29012.07,2.02,2.06,59135.05,2.1,2.12,203385.77,1.91,1.9,468179.61,1.46,1.45,842646.79,1.38,1.36,2558423.26,1.2,1.12,4767949.73,1.41,1.16,6820637.83,2.14,2.12,3856133.14,2.14,2.12,3856133.14,7387158.25
2025-11-09 00:00:00.000 Z,WBBL/Sydney Thunder W v Hobart Hurricanes W,34920116,MATCH_ODDS,250068925,Match Odds,89981477,Hobart Hurricanes W,WINNER,1,Sydney Thunder W,v Hobart Hurricanes W,1.92,1.93,151474.23,2.48,2.48,446433.28,3.25,3.15,482318.57,2.18,2.16,530727.48,3.15,3.1,580282.45,3.8,3.75,617402.77,7.4,6.4,696226.49,5.3,5.5,705868.69,3.7,3.7,732748.39,1.25,1.04,6746794.95,11910151.37
2025-11-09 00:00:00.000 Z,WBBL/Sydney Thunder W v Hobart Hurricanes W,34920116,MATCH_ODDS,250068925,Match Odds,90023791,Sydney Thunder W,LOSER,0,Sydney Thunder W,v Hobart Hurricanes W,1.96,2.08,70376.75,1.67,1.66,1663688.13,1.47,1.44,3040198.23,1.88,1.78,4896754.92,1.48,1.45,7711199.1,1.39,1.36,11940811.32,1.2,1.15,17477442.52,1.27,1.22,18620597.77,1.38,1.32,21052816.37,14,8,23206305.57,23226969.71
2025-11-09 00:00:00.000 Z,WBBL/Perth Scorchers W v Sydney Sixers W,34920148,MATCH_ODDS,250069361,Match Odds,90213197,Perth Scorchers W,LOSER,0,Perth Scorchers W,v Sydney Sixers W,2.36,2.42,33765.54,2.84,2.88,429692.37,3.75,3.5,442907.19,3.15,3.1,563961.21,14,13.5,877673.39,16,15.5,892752.9,120,100,914866.43,300,300,916131.99,1000,,916901.21,,,916964.95,916964.95
2025-11-09 00:00:00.000 Z,WBBL/Perth Scorchers W v Sydney Sixers W,34920148,MATCH_ODDS,250069361,Match Odds,89981476,Sydney Sixers W,WINNER,1,Perth Scorchers W,v Sydney Sixers W,1.73,1.72,250182.97,1.55,1.52,4151114.14,1.39,1.33,4604432.86,1.47,1.43,10044173.71,1.08,1.07,17240020.88,1.09,1.06,20703007.88,1.01,1.01,25849912.66,,1.01,25869521.1,,1.01,25873357.29,,,25873468.23,25873468.23
2025-11-11 00:00:00.000 Z,WBBL/Melbourne Renegades W v Sydney Thunder W,34941729,MATCH_ODDS,250371952,Match Odds,90021943,Melbourne Renegades W,WINNER,1,Melbourne Renegades W,v Sydney Thunder W,2.46,2.48,44380.51,2.2,1.85,113586.22,2.36,2.3,148763.69,1.9,1.84,542929.22,2.02,1.98,3029868.82,1.76,1.74,4751796.97,2.68,2.56,7236541.09,2,1.87,7649866.42,3.4,3.35,8729547.94,1.01,1.01,17090193.16,17090244.47
2025-11-11 00:00:00.000 Z,WBBL/Melbourne Renegades W v Sydney Thunder W,34941729,MATCH_ODDS,250371952,Match Odds,90023791,Sydney Thunder W,LOSER,0,Melbourne Renegades W,v Sydney Thunder W,1.67,1.68,214124.77,1.89,1.8,2197947.5,1.76,1.73,3098994.56,2.12,2.08,5643649.25,2.02,1.98,6127976.03,2.34,2.3,6311664.15,1.68,1.59,8759704.35,2.14,2.1,9094335.57,1.43,1.38,10816192.02,1000,,12127386.6,12127396.03
2025-11-12 00:00:00.000 Z,WBBL/Brisbane Heat W v Perth Scorchers W,34941983,MATCH_ODDS,250372263,Match Odds,90021942,Brisbane Heat W,LOSER,0,Brisbane Heat W,v Perth Scorchers W,1.59,1.55,389895.69,1.87,1.84,8746646.93,1.88,1.85,8273591.92,1.89,1.86,8587338.24,2.1,2.06,11027532.32,2.22,2.2,11146912.69,2.3,2.22,12932822.1,2.4,2.3,12933077.83,10.5,10,13257419.76,16,15,13276000.05,13309328.21
2025-11-12 00:00:00.000 Z,WBBL/Brisbane Heat W v Perth Scorchers W,34941983,MATCH_ODDS,250372263,Match Odds,90213197,Perth Scorchers W,WINNER,1,Brisbane Heat W,v Perth Scorchers W,2.74,2.68,59286.35,2.14,2.14,1008904.95,2.18,2.16,965099.5,2.14,2.12,1007944.44,1.93,1.88,5360281.89,1.83,1.81,6568600.56,1.82,1.7,14200104.24,1.79,1.68,14237297.12,1.16,1.06,33635142.46,1.07,1.06,38781429.97,57083685.81
